id;full_name;address;grade;contact_no
1;Bedfordshire copy Auto;Rand frictionless;93710;client-server Frozen next
2;bypassing Account;connect USB;15342;sensor
3;partnerships Planner invoice;virtual generate;57180;eco-centric distributed Movies
4;port generate Refined;up experiences Uganda;77574;Electronics virtual
5;bluetooth revolutionary solution-oriented;dedicated quantifying Total;44094;Developer Chief Rubber
6;Account;repurpose generating;34318;deposit Bedfordshire Rustic
7;installation services Course;Multi-lateral world-class Account;2903;Regional
8;Polarised circuit;Operative Health cutting-edge;68394;Utah Ukraine navigating
9;white Grass-roots;Shirt Awesome Soft;53257;solutions Books
10;Fresh Steel Buckinghamshire;compressing Steel Triple-buffered;54242;Health
